Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Screen_Time_Per_Day,Physical_Activity_Hours,Attendance_Percentage,Healthy_Eating_Score,Academic_Performance
S00001,3.7,6.2,5.7,0.0,80.3,8,48.6
S00002,2.8,6.6,5.6,0.5,95.1,4,32.8
S00003,4.0,6.3,3.1,0.7,83.0,10,44.4
S00004,5.3,7.1,6.2,1.1,85.9,4,54.1
S00005,2.6,8.4,2.0,1.5,92.2,2,63.9
S00006,2.6,6.1,3.7,1.3,84.4,2,35.3
S00007,5.4,8.2,1.0,0.4,66.8,4,59.3
S00008,4.2,6.1,8.1,0.8,95.4,4,68.8
S00009,2.3,6.0,4.5,1.0,97.5,5,40.1
S00010,3.8,8.0,9.3,0.9,66.7,10,40.7
S00011,2.3,8.1,6.6,0.9,74.6,10,17.7
S00012,2.3,8.0,5.9,0.1,100.0,10,35.8
S00013,3.4,5.4,3.8,0.4,87.3,9,37.0
S00014,0.1,6.4,2.9,0.8,85.0,9,31.8
S00015,0.4,8.0,6.0,0.0,80.7,7,30.1
S00016,2.2,7.0,4.9,1.3,74.7,6,46.3
S00017,1.5,5.7,2.3,0.3,83.1,10,25.6
S00018,3.5,7.5,2.0,1.3,94.7,5,70.5
S00019,1.6,6.1,3.1,1.3,84.8,4,50.2
S00020,0.9,9.2,8.6,0.7,91.1,2,26.4
S00021,5.2,8.9,9.4,1.5,100.0,4,76.2
S00022,2.7,7.7,5.4,1.4,79.2,7,35.2
S00023,3.1,8.6,5.3,0.8,88.0,1,42.4
S00024,0.9,7.1,4.3,0.8,95.0,3,27.2
S00025,2.2,7.9,3.1,1.5,75.7,4,43.2
S00026,3.2,8.8,7.8,1.1,86.8,7,40.6
S00027,1.3,7.3,8.7,1.5,100.0,3,27.7
S00028,3.6,6.7,3.2,0.0,81.6,4,56.6
S00029,2.1,5.0,4.8,1.0,95.7,1,30.9
S00030,2.6,6.9,4.1,0.2,83.6,1,73.0
S00031,2.1,8.0,4.2,1.0,100.0,10,61.3
S00032,5.8,8.1,7.4,1.4,68.5,3,73.6
S00033,3.0,7.6,2.4,1.9,85.6,7,46.7
S00034,1.4,6.4,5.9,0.5,70.2,6,28.8
S00035,4.2,4.6,6.5,0.7,78.0,5,35.9
S00036,1.2,6.4,4.7,1.0,77.9,8,24.5
S00037,3.3,6.6,6.8,0.5,82.3,8,62.0
S00038,0.1,6.6,5.3,1.5,73.1,4,38.3
S00039,1.0,7.7,7.4,1.0,84.3,10,32.2
S00040,3.3,9.4,2.0,1.1,89.6,6,67.2
S00041,4.1,7.1,4.3,1.3,69.7,1,54.3
S00042,3.3,6.7,4.9,1.0,78.7,10,38.5
S00043,2.8,6.7,1.0,0.6,100.0,10,59.7
S00044,2.5,7.1,2.8,1.0,88.3,9,49.8
S00045,0.8,6.0,3.4,0.6,66.8,5,26.8
S00046,1.9,7.1,6.9,1.1,71.0,8,26.2
S00047,2.3,7.5,3.6,1.5,87.3,10,54.4
S00048,4.6,7.3,3.4,0.4,86.0,10,58.6
S00049,3.5,7.5,6.6,0.2,79.1,1,37.4
S00050,0.4,7.5,1.8,1.0,100.0,4,51.2
S00051,3.5,4.9,1.0,0.6,100.0,2,49.3
S00052,2.4,7.8,4.3,1.0,82.4,2,30.0
S00053,2.0,6.2,2.1,1.2,93.7,2,57.1
S00054,3.9,5.7,2.2,0.0,94.2,2,35.6
S00055,4.5,5.7,6.1,1.3,95.6,8,44.5
S00056,4.4,7.5,6.8,0.4,78.6,6,51.9
S00057,1.7,6.7,6.6,1.0,100.0,9,25.1
S00058,2.5,5.0,7.2,0.7,84.3,2,29.2
S00059,3.5,7.6,7.5,0.7,89.2,1,60.3
S00060,4.5,5.3,1.0,1.8,85.0,8,71.0
S00061,2.3,7.2,5.9,1.2,83.6,10,50.3
S00062,2.7,7.3,3.9,1.5,87.8,3,57.8
S00063,1.3,8.1,3.5,1.1,73.1,3,53.6
S00064,1.2,9.1,6.1,1.3,65.3,8,51.2
S00065,4.2,5.4,1.5,1.2,82.9,5,55.8
S00066,5.0,6.9,1.5,1.1,76.2,8,61.0
S00067,2.9,6.7,6.3,1.6,90.5,2,36.0
S00068,4.5,7.5,6.0,1.1,89.3,10,50.6
S00069,3.5,7.3,5.3,2.1,85.1,9,33.7
S00070,2.0,6.6,3.2,1.5,99.8,2,50.3
S00071,3.5,6.5,6.5,0.4,84.9,9,47.8
S00072,5.3,5.7,6.4,0.9,70.4,10,53.1
S00073,2.9,8.2,5.2,1.2,82.8,6,46.9
S00074,5.3,7.6,2.6,1.0,96.7,5,70.3
S00075,0.0,8.1,4.1,1.3,66.2,7,36.7
S00076,4.2,6.6,6.7,1.4,84.1,7,48.0
S00077,3.1,6.2,7.7,0.3,90.8,4,44.8
S00078,2.6,5.7,4.3,1.6,100.0,7,42.0
S00079,3.1,7.4,4.5,0.8,97.1,3,54.6
S00080,0.0,5.8,4.7,0.7,86.3,3,33.3
